pos1	pos2	pos3	pos4	audio	lijst
gun.jpg	balloon.jpg	turtle.jpg	snail.jpg	43_L_langzaam_slijmerig.wav	3
chair.jpg	porcupine.jpg	bench.jpg	anchor.jpg	44_L_zitten_eenpersoon.wav	3
cloud.jpg	piano.jpg	accordion.jpg	king.jpg	45_L_toetsen_draagbaar.wav	3
basket.jpg	telescope.jpg	crab.jpg	microscope.jpg	46_L_vergroten_astronomie.wav	3
mailbox.jpg	skis.jpg	wateringcan.jpg	letter.jpg	47_L_post_afzender.wav	3
parrot.jpg	plate.jpg	microphone.jpg	guitar.jpg	48_L_praten_veren.wav	3
dress.jpg	medal.jpg	trophy.jpg	anvil.jpg	49_L_prijs_oren.wav	3
shower.jpg	scorpion.jpg	violin.jpg	snake.jpg	50_L_gif_poten.wav	3
vacuum.jpg	pumpkin.jpg	lobster.jpg	washingmachine.jpg	51_L_schoonmaken_water.wav	3
typewriter.jpg	ashtray.jpg	pen.jpg	tape.jpg	52_L_schrijver_toetsen.wav	3
teepee.jpg	shoe.jpg	carrot.jpg	wheel.jpg	53_L_Sinterklaas_eten.wav	3
strawberry.jpg	nose.jpg	whip.jpg	ear.jpg	54_L_zintuig_voorkant.wav	3
sword.jpg	bear.jpg	stethoscope.jpg	knife.jpg	30_L_scherp_keuken.wav	3
stroller.jpg	hair.jpg	wheelchair.jpg	windmill.jpg	55_L_wielen_baby.wav	3
lipstick.jpg	pineapple.jpg	banana.jpg	nurse.jpg	56_L_fruit_krom.wav	3
dog.jpg	horse.jpg	skateboard.jpg	truck.jpg	1_E_hinnikt_dier.wav	4
candle.jpg	match1.jpg	rake.jpg	crib.jpg	2_E_was_vuur.wav	4
wheelbarrow.jpg	scissors.jpg	egg.jpg	apple.jpg	3_E_boom_eten.wav	4
butter.jpg	cast.jpg	train.jpg	car.jpg	4_E_conducteurs_vervoer.wav	4
speaker.jpg	RADIO1.jpg	glass.jpg	shovel.jpg	5_E_antenne_geluid.wav	4
lightbulb.jpg	torch.jpg	pineapple.jpg	handcuffs.jpg	6_E_elektriciteit_licht.wav	4
couch.jpg	unicycle.jpg	monkey.jpg	elephant.jpg	7_E_slurf_dierentuin.wav	4
lion.jpg	table.jpg	moon.jpg	rocket.jpg	8_E_kraters_ruimte.wav	4
bat1.jpg	tennisracket.jpg	mosquito.jpg	wig.jpg	9_E_bespannen_sport.wav	4
hammer2.jpg	wall.jpg	cowboy.jpg	pig.jpg	10_E_gereedschap_bouw.wav	4
cactus.jpg	hoe.jpg	door.jpg	zipper.jpg	11_E_spijkerbroek_sluiten.wav	4
cow.jpg	palmtree.jpg	seesaw.jpg	swing.jpg	12_E_tweepersonen_speeltuin.wav	4
queen.jpg	dragon.jpg	fork.jpg	dime.jpg	13_E_staart_sprookjes.wav	4
crab.jpg	shell.jpg	trophy.jpg	dustpan.jpg	14_E_beweegt_strand.wav	4
clock.jpg	poker.jpg	sausage.jpg	watch.jpg	15_E_bandje_tijd.wav	4
cage.jpg	sun.jpg	mousetrap.jpg	top.jpg	16_E_deurtje_vangen.wav	4
bottle.jpg	beaver.jpg	mouse.jpg	rug.jpg	17_E_piept_knaagdier.wav	4
whip.jpg	motorcycle.jpg	butterfly.jpg	stoplight.jpg	18_E_wielen_verkeer.wav	4
alligator.jpg	box.jpg	knife.jpg	dinosaur.jpg	19_E_uitgestorven_reptiel.wav	4
tiger.jpg	brush.jpg	zebra.jpg	tv.jpg	20_E_vlees_strepen.wav	4
tweezers.jpg	mug.jpg	kettle.jpg	star.jpg	21_E_tuit_thee.wav	4
paw.jpg	rain.jpg	hamburger.jpg	mushroom.jpg	22_E_neerslag_herfst.wav	4
dime.jpg	clown.jpg	popcorn.jpg	diamond.jpg	23_E_hoekig_waarde.wav	4
fishingpole.jpg	genie.jpg	net.jpg	rabbit.jpg	24_E_haak_vissen.wav	4
pliers.jpg	pyramid.jpg	camel.jpg	cell.jpg	25_E_bulten_Egypte.wav	4
fly.jpg	balloon.jpg	mitt.jpg	cake.jpg	26_E_opblazen_feestje.wav	4
cross.jpg	scarf.jpg	closet.jpg	devil.jpg	27_E_kwaad_geloof.wav	4
gun.jpg	organ.jpg	cannon.jpg	waiter.jpg	28_E_draagbaar_schieten.wav	4
tank1.jpg	microphone.jpg	window.jpg	glasses.jpg	29_L_glas_montuur.wav	4
belt.jpg	grave2.jpg	book.jpg	owl.jpg	31_L_wijsheid_pagina.wav	4
deer.jpg	moose.jpg	blimp.jpg	rope.jpg	32_L_gewei_kou.wav	4
kite.jpg	fan.jpg	crown.jpg	lawnmower.jpg	33_L_wind_touw.wav	4
ghost.jpg	skirt.jpg	submarine.jpg	shark.jpg	34_L_zee_kieuwen.wav	4
hanger.jpg	saddle.jpg	onion.jpg	tear.jpg	35_L_huilen_groente.wav	4
cat.jpg	dog.jpg	jacket.jpg	sun.jpg	36_L_huisdier_kwispelen.wav	4
ring.jpg	bride.jpg	turkey.jpg	cactus.jpg	37_L_trouwerij_levenloos.wav	4
rain.jpg	shower.jpg	spaghetti.jpg	pizza.jpg	38_L_Italie_rond.wav	4
chicken.jpg	carrot.jpg	tie.jpg	desk.jpg	39_L_kantoor_kledingstuk.wav	4
pan.jpg	stove.jpg	unicorn.jpg	toe.jpg	40_L_koken_kookpitten.wav	4
saw.jpg	hammer.jpg	alarmclock.jpg	chicken.jpg	41_L_gereedschap_tanden.wav	4
bomb.jpg	cigarette.jpg	eskimo.jpg	penguin.jpg	42_L_kou_snavel.wav	4
gun.jpg	balloon.jpg	snail.jpg	turtle.jpg	43_L_langzaam_slijmerig.wav	4
porcupine.jpg	bench.jpg	chair.jpg	anchor.jpg	44_L_zitten_eenpersoon.wav	4
king.jpg	accordion.jpg	cloud.jpg	piano.jpg	45_L_toetsen_draagbaar.wav	4
microscope.jpg	basket.jpg	crab.jpg	telescope.jpg	46_L_vergroten_astronomie.wav	4
letter.jpg	wateringcan.jpg	mailbox.jpg	skis.jpg	47_L_post_afzender.wav	4
plate.jpg	microphone.jpg	parrot.jpg	guitar.jpg	48_L_praten_veren.wav	4
anvil.jpg	trophy.jpg	dress.jpg	medal.jpg	49_L_prijs_oren.wav	4
snake.jpg	shower.jpg	violin.jpg	scorpion.jpg	50_L_gif_poten.wav	4
washingmachine.jpg	lobster.jpg	vacuum.jpg	pumpkin.jpg	51_L_schoonmaken_water.wav	4
ashtray.jpg	pen.jpg	typewriter.jpg	tape.jpg	52_L_schrijver_toetsen.wav	4
wheel.jpg	carrot.jpg	teepee.jpg	shoe.jpg	53_L_Sinterklaas_eten.wav	4
ear.jpg	strawberry.jpg	whip.jpg	nose.jpg	54_L_zintuig_voorkant.wav	4
knife.jpg	stethoscope.jpg	sword.jpg	bear.jpg	30_L_scherp_keuken.wav	4
hair.jpg	wheelchair.jpg	stroller.jpg	windmill.jpg	55_L_wielen_baby.wav	4
nurse.jpg	banana.jpg	lipstick.jpg	pineapple.jpg	56_L_fruit_krom.wav	4
horse.jpg	skateboard.jpg	dog.jpg	truck.jpg	1_L_dier_hinnikt.wav	5
rake.jpg	match1.jpg	candle.jpg	crib.jpg	2_L_vuur_was.wav	5
scissors.jpg	apple.jpg	wheelbarrow.jpg	egg.jpg	3_L_eten_boom.wav	5
car.jpg	cast.jpg	butter.jpg	train.jpg	4_L_vervoer_conducteurs.wav	5
RADIO1.jpg	glass.jpg	speaker.jpg	shovel.jpg	5_L_geluid_antenne.wav	5
pineapple.jpg	torch.jpg	lightbulb.jpg	handcuffs.jpg	6_L_licht_elektriciteit.wav	5
unicycle.jpg	elephant.jpg	couch.jpg	monkey.jpg	7_L_dierentuin_slurf.wav	5
rocket.jpg	table.jpg	lion.jpg	moon.jpg	8_L_ruimte_kraters.wav	5
tennisracket.jpg	mosquito.jpg	bat1.jpg	wig.jpg	9_L_sport_bespannen.wav	5
cowboy.jpg	wall.jpg	hammer2.jpg	pig.jpg	10_L_bouw_gereedschap.wav	5
hoe.jpg	zipper.jpg	cactus.jpg	door.jpg	11_L_sluiten_spijkerbroek.wav	5
swing.jpg	palmtree.jpg	cow.jpg	seesaw.jpg	12_L_speeltuin_tweepersonen.wav	5
dragon.jpg	fork.jpg	queen.jpg	dime.jpg	13_L_sprookjes_staart.wav	5
trophy.jpg	shell.jpg	crab.jpg	dustpan.jpg	14_L_strand_beweegt.wav	5
watch.jpg	clock.jpg	sausage.jpg	poker.jpg	15_L_tijd_bandje.wav	5
sun.jpg	top.jpg	mousetrap.jpg	cage.jpg	16_L_vangen_deurtje.wav	5
bottle.jpg	rug.jpg	mouse.jpg	beaver.jpg	17_L_knaagdier_piept.wav	5
stoplight.jpg	motorcycle.jpg	butterfly.jpg	whip.jpg	18_L_verkeer_wielen.wav	5
dinosaur.jpg	alligator.jpg	knife.jpg	box.jpg	19_L_reptiel_uitgestorven.wav	5
brush.jpg	tv.jpg	zebra.jpg	tiger.jpg	20_L_strepen_vlees.wav	5
tweezers.jpg	star.jpg	kettle.jpg	mug.jpg	21_L_thee_tuit.wav	5
mushroom.jpg	rain.jpg	hamburger.jpg	paw.jpg	22_L_herfst_neerslag.wav	5
diamond.jpg	dime.jpg	popcorn.jpg	clown.jpg	23_L_waarde_hoekig.wav	5
genie.jpg	rabbit.jpg	net.jpg	fishingpole.jpg	24_L_vissen_haak.wav	5
pliers.jpg	cell.jpg	camel.jpg	pyramid.jpg	25_L_Egypte_bulten.wav	5
cake.jpg	balloon.jpg	mitt.jpg	fly.jpg	26_L_feestje_opblazen.wav	5
devil.jpg	cross.jpg	closet.jpg	scarf.jpg	27_L_geloof_kwaad.wav	5
organ.jpg	waiter.jpg	cannon.jpg	gun.jpg	28_L_schieten_draagbaar.wav	5
microphone.jpg	glasses.jpg	tank1.jpg	window.jpg	29_E_montuur_glas.wav	5
owl.jpg	grave2.jpg	belt.jpg	book.jpg	31_E_pagina_wijsheid.wav	5
moose.jpg	blimp.jpg	deer.jpg	rope.jpg	32_E_kou_gewei.wav	5
crown.jpg	fan.jpg	kite.jpg	lawnmower.jpg	33_E_touw_wind.wav	5
skirt.jpg	shark.jpg	ghost.jpg	submarine.jpg	34_E_kieuwen_zee.wav	5
tear.jpg	saddle.jpg	hanger.jpg	onion.jpg	35_E_groente_huilen.wav	5
dog.jpg	jacket.jpg	cat.jpg	sun.jpg	36_E_kwispelen_huisdier.wav	5
turkey.jpg	bride.jpg	ring.jpg	cactus.jpg	37_E_levenloos_trouwerij.wav	5
shower.jpg	pizza.jpg	rain.jpg	spaghetti.jpg	38_E_rond_Italie.wav	5
desk.jpg	chicken.jpg	carrot.jpg	tie.jpg	39_E_kledingstuk_kantoor.wav	5
stove.jpg	unicorn.jpg	pan.jpg	toe.jpg	40_E_kookpitten_koken.wav	5
alarmclock.jpg	hammer.jpg	saw.jpg	chicken.jpg	41_E_tanden_gereedschap.wav	5
cigarette.jpg	penguin.jpg	bomb.jpg	eskimo.jpg	42_E_snavel_kou.wav	5
turtle.jpg	gun.jpg	balloon.jpg	snail.jpg	43_E_slijmerig_langzaam.wav	5
porcupine.jpg	anchor.jpg	chair.jpg	bench.jpg	44_E_eenpersoon_zitten.wav	5
piano.jpg	accordion.jpg	cloud.jpg	king.jpg	45_E_draagbaar_toetsen.wav	5
telescope.jpg	microscope.jpg	crab.jpg	basket.jpg	46_E_astronomie_vergroten.wav	5
wateringcan.jpg	skis.jpg	mailbox.jpg	letter.jpg	47_E_afzender_post.wav	5
plate.jpg	guitar.jpg	parrot.jpg	microphone.jpg	48_E_veren_praten.wav	5
medal.jpg	trophy.jpg	dress.jpg	anvil.jpg	49_E_oren_prijs.wav	5
scorpion.jpg	snake.jpg	violin.jpg	shower.jpg	50_E_poten_gif.wav	5
lobster.jpg	pumpkin.jpg	vacuum.jpg	washingmachine.jpg	51_E_water_schoonmaken.wav	5
ashtray.jpg	tape.jpg	typewriter.jpg	pen.jpg	52_E_toetsen_schrijver.wav	5
shoe.jpg	carrot.jpg	teepee.jpg	wheel.jpg	53_E_eten_Sinterklaas.wav	5
nose.jpg	ear.jpg	whip.jpg	strawberry.jpg	54_E_voorkant_zintuig.wav	5
stethoscope.jpg	bear.jpg	sword.jpg	knife.jpg	30_E_keuken_scherp.wav	5
hair.jpg	windmill.jpg	stroller.jpg	wheelchair.jpg	55_E_baby’s_wielen.wav	5
pineapple.jpg	banana.jpg	lipstick.jpg	nurse.jpg	56_E_krom_fruit.wav	5
skateboard.jpg	dog.jpg	horse.jpg	truck.jpg	1_L_dier_hinnikt.wav	6
crib.jpg	candle.jpg	rake.jpg	match1.jpg	2_L_vuur_was.wav	6
egg.jpg	scissors.jpg	wheelbarrow.jpg	apple.jpg	3_L_eten_boom.wav	6
train.jpg	butter.jpg	car.jpg	cast.jpg	4_L_vervoer_conducteurs.wav	6
