Source.Name	audio	count_fixation	pos1	pos2	pos3	pos4	subject_nr
subject-1103.csv	48_L_praten_veren.wav	22	parrot.jpg	plate.jpg	microphone.jpg	guitar.jpg	1103
subject-1103.csv	43_L_langzaam_slijmerig.wav	23	gun.jpg	balloon.jpg	turtle.jpg	snail.jpg	1103
subject-1103.csv	4_E_conducteurs_vervoer.wav	24	butter.jpg	cast.jpg	car.jpg	train.jpg	1103
subject-1103.csv	15_E_bandje_tijd.wav	25	poker.jpg	watch.jpg	sausage.jpg	clock.jpg	1103
subject-1103.csv	6_E_elektriciteit_licht.wav	26	torch.jpg	lightbulb.jpg	pineapple.jpg	handcuffs.jpg	1103
subject-1103.csv	36_L_huisdier_kwispelen.wav	27	jacket.jpg	sun.jpg	dog.jpg	cat.jpg	1103
subject-1103.csv	1_E_hinnikt_dier.wav	28	skateboard.jpg	truck.jpg	horse.jpg	dog.jpg	1103
subject-1103.csv	14_E_beweegt_strand.wav	29	shell.jpg	crab.jpg	trophy.jpg	dustpan.jpg	1103
subject-1103.csv	50_L_gif_poten.wav	30	shower.jpg	scorpion.jpg	violin.jpg	snake.jpg	1103
subject-1103.csv	35_L_huilen_groente.wav	31	hanger.jpg	saddle.jpg	tear.jpg	onion.jpg	1103
subject-1103.csv	5_E_antenne_geluid.wav	32	glass.jpg	shovel.jpg	RADIO1.jpg	speaker.jpg	1103
subject-1103.csv	55_L_wielen_baby.wav	33	stroller.jpg	hair.jpg	wheelchair.jpg	windmill.jpg	1103
subject-1103.csv	17_E_piept_knaagdier.wav	34	mouse.jpg	bottle.jpg	beaver.jpg	rug.jpg	1103
subject-1103.csv	44_L_zitten_eenpersoon.wav	35	chair.jpg	porcupine.jpg	bench.jpg	anchor.jpg	1103
subject-1103.csv	24_E_haak_vissen.wav	36	net.jpg	rabbit.jpg	genie.jpg	fishingpole.jpg	1103
subject-1103.csv	12_E_tweepersonen_speeltuin.wav	37	cow.jpg	palmtree.jpg	swing.jpg	seesaw.jpg	1103
subject-1103.csv	27_E_kwaad_geloof.wav	38	scarf.jpg	devil.jpg	closet.jpg	cross.jpg	1103
subject-1103.csv	33_L_wind_touw.wav	39	fan.jpg	kite.jpg	crown.jpg	lawnmower.jpg	1103
subject-1103.csv	38_L_Italie_rond.wav	40	pizza.jpg	spaghetti.jpg	rain.jpg	shower.jpg	1103
subject-1103.csv	16_E_deurtje_vangen.wav	41	mousetrap.jpg	top.jpg	sun.jpg	cage.jpg	1103
subject-1103.csv	20_E_vlees_strepen.wav	42	zebra.jpg	tv.jpg	brush.jpg	tiger.jpg	1103
subject-1103.csv	19_E_uitgestorven_reptiel.wav	43	box.jpg	dinosaur.jpg	knife.jpg	alligator.jpg	1103
subject-1103.csv	25_E_bulten_Egypte.wav	44	camel.jpg	pliers.jpg	pyramid.jpg	cell.jpg	1103
subject-1103.csv	26_E_opblazen_feestje.wav	45	mitt.jpg	cake.jpg	balloon.jpg	fly.jpg	1103
subject-1103.csv	32_L_gewei_kou.wav	46	blimp.jpg	rope.jpg	moose.jpg	deer.jpg	1103
subject-1103.csv	41_L_gereedschap_tanden.wav	47	hammer.jpg	saw.jpg	alarmclock.jpg	chicken.jpg	1103
subject-1103.csv	54_L_zintuig_voorkant.wav	48	strawberry.jpg	nose.jpg	whip.jpg	ear.jpg	1103
subject-1103.csv	52_L_schrijver_toetsen.wav	49	typewriter.jpg	ashtray.jpg	pen.jpg	tape.jpg	1103
subject-1103.csv	46_L_vergroten_astronomie.wav	50	basket.jpg	telescope.jpg	crab.jpg	microscope.jpg	1103
subject-1103.csv	7_E_slurf_dierentuin.wav	51	elephant.jpg	monkey.jpg	couch.jpg	unicycle.jpg	1103
subject-1103.csv	53_L_Sinterklaas_eten.wav	52	teepee.jpg	shoe.jpg	carrot.jpg	wheel.jpg	1103
subject-1103.csv	10_E_gereedschap_bouw.wav	53	wall.jpg	hammer2.jpg	cowboy.jpg	pig.jpg	1103
subject-1103.csv	11_E_spijkerbroek_sluiten.wav	54	zipper.jpg	door.jpg	cactus.jpg	hoe.jpg	1103
subject-1103.csv	37_L_trouwerij_levenloos.wav	55	bride.jpg	ring.jpg	turkey.jpg	cactus.jpg	1103
subject-1103.csv	31_L_wijsheid_pagina.wav	56	belt.jpg	grave2.jpg	owl.jpg	book.jpg	1103
subject-1103.csv	23_E_hoekig_waarde.wav	57	clown.jpg	diamond.jpg	popcorn.jpg	dime.jpg	1103
subject-1103.csv	13_E_staart_sprookjes.wav	58	fork.jpg	dime.jpg	dragon.jpg	queen.jpg	1103
subject-1103.csv	56_L_fruit_krom.wav	59	lipstick.jpg	pineapple.jpg	banana.jpg	nurse.jpg	1103
subject-1104.csv	prac1_E_wielen_ziekenhuis.wav	0	wheelchair.jpg	nurse.jpg	bee.jpg	pan.jpg	1104
subject-1104.csv	prac4_L_hakken_natuurlijk.wav	1	priest2.jpg	log2.jpg	arrow.jpg	ax.jpg	1104
subject-1104.csv	prac2_L_nacht_kerstboom.wav	2	moon.jpg	wallet.jpg	star.jpg	belt.jpg	1104
subject-1104.csv	prac3_E_badkamer_water.wav	3	beard.jpg	wallet.jpg	hose.jpg	shower.jpg	1104
subject-1104.csv	21_E_tuit_thee.wav	4	tweezers.jpg	mug.jpg	kettle.jpg	star.jpg	1104
subject-1104.csv	5_E_antenne_geluid.wav	5	speaker.jpg	RADIO1.jpg	glass.jpg	shovel.jpg	1104
subject-1104.csv	2_E_was_vuur.wav	6	candle.jpg	match1.jpg	rake.jpg	crib.jpg	1104
subject-1104.csv	43_L_langzaam_slijmerig.wav	7	gun.jpg	balloon.jpg	snail.jpg	turtle.jpg	1104
subject-1104.csv	42_L_kou_snavel.wav	8	bomb.jpg	cigarette.jpg	eskimo.jpg	penguin.jpg	1104
subject-1104.csv	48_L_praten_veren.wav	9	plate.jpg	microphone.jpg	parrot.jpg	guitar.jpg	1104
subject-1104.csv	25_E_bulten_Egypte.wav	10	pliers.jpg	pyramid.jpg	camel.jpg	cell.jpg	1104
subject-1104.csv	49_L_prijs_oren.wav	11	anvil.jpg	trophy.jpg	dress.jpg	medal.jpg	1104
subject-1104.csv	10_E_gereedschap_bouw.wav	12	hammer2.jpg	wall.jpg	cowboy.jpg	pig.jpg	1104
subject-1104.csv	14_E_beweegt_strand.wav	13	crab.jpg	shell.jpg	trophy.jpg	dustpan.jpg	1104
subject-1104.csv	31_L_wijsheid_pagina.wav	14	belt.jpg	grave2.jpg	book.jpg	owl.jpg	1104
